"CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","Area"
"0901000011716","09","010","0001","1716","265454"
"0901000012150","09","010","0001","2150","219510"
"0901000011133","09","010","0001","1133","585606"
"0901000011307","09","010","0001","1307","1059225"
"0901000010281","09","010","0001","0281","190557"
"0901000012199","09","010","0001","2199","231833"
"0901000012269","09","010","0001","2269","348437"
"0901000012273","09","010","0001","2273","898164"
"0901000011330","09","010","0001","1330","1609718"
"090100001181A","09","010","0001","181A","308348"
"0901000011684","09","010","0001","1684","638689"
"0901000011665","09","010","0001","1665","220449"
"0901000010578","09","010","0001","0578","307880"
"0901000010597","09","010","0001","0597","136129"
"0901000010690","09","010","0001","0690","354575"
"0901000010915","09","010","0001","0915","321430"
"0901000012216","09","010","0001","2216","600167"
"0901000011275","09","010","0001","1275","1129841"
"0901000010065","09","010","0001","0065","208383"
"0901000011063","09","010","0001","1063","426571"
"0901000011542","09","010","0001","1542","973763"
"0901000012358","09","010","0001","2358","737758"
"0901000012057","09","010","0001","2057","233574"
"0901000012201","09","010","0001","2201","214767"
"0901000011222","09","010","0001","1222","275562"
"090100001128A","09","010","0001","128A","1078702"
"0901000011364","09","010","0001","1364","247888"
"0901000010027","09","010","0001","0027","238834"
"0901000010031","09","010","0001","0031","314860"
"0901000010987","09","010","0001","0987","454191"
"0901000010991","09","010","0001","0991","516298"
"0901000011006","09","010","0001","1006","468474"
"0901000011769","09","010","0001","1769","2241794"
"0901000012042","09","010","0001","2042","143044"
"0901000010718","09","010","0001","0718","23467"
"0901000011951","09","010","0001","1951","162304"
"0901000010012","09","010","0001","0012","129765"
"090100001021A","09","010","0001","021A","24456"
"0901000011044","09","010","0001","1044","685409"
"0901000010525","09","010","0001","0525","149479"
"0901000011129","09","010","0001","1129","503833"
"090100001053A","09","010","0001","053A","194976"
"0901000011970","09","010","0001","1970","172523"
"0901000010826","09","010","0001","0826","34070"
"0901000010830","09","010","0001","0830","59009"
"0901000010845","09","010","0001","0845","124254"
"0901000011010","09","010","0001","1010","264496"
"0901000010722","09","010","0001","0722","128161"
"090100001103A","09","010","0001","103A","376702"
"0901000010614","09","010","0001","0614","118094"
"0901000012362","09","010","0001","2362","113380"
"0901000010629","09","010","0001","0629","143336"
"0901000011881","09","010","0001","1881","489590"
"0901000011928","09","010","0001","1928","71747"
"0901000011966","09","010","0001","1966","173166"
"0901000012004","09","010","0001","2004","228750"
"0901000012019","09","010","0001","2019","242341"
"0901000012038","09","010","0001","2038","132603"
"0901000012131","09","010","0001","2131","139016"
"0901000012184","09","010","0001","2184","459941"
"0901000010084","09","010","0001","0084","97101"
"0901000012292","09","010","0001","2292","593108"
"0901000011114","09","010","0001","1114","301857"
"0901000011078","09","010","0001","1078","401393"
"090100001110A","09","010","0001","110A","626861"
"0901000011190","09","010","0001","1190","452136"
"0901000011203","09","010","0001","1203","310795"
"0901000010563","09","010","0001","0563","307101"
"0901000011148","09","010","0001","1148","1434777"
"090100001167A","09","010","0001","167A","626004"
"0901000011519","09","010","0001","1519","216560"
"0901000011523","09","010","0001","1523","121596"
"0901000011631","09","010","0001","1631","263709"
"0901000011646","09","010","0001","1646","141525"
"0901000011650","09","010","0001","1650","147065"
"0901000010046","09","010","0001","0046","286588"
"0901000010050","09","010","0001","0050","157636"
"0901000010101","09","010","0001","0101","43649"
