"folio_ageb","entidad","alcaldia","localidad","pob","tot_pobres","IDSM","E_IDS_V"
"0901301471281","09","013","0147",1,1,0.1516,"Muy bajo"
"0901301121281","09","013","0112",2,2,0.1624431,"Muy bajo"
"0901202091231","09","012","0209",2,2,0.2257479,"Muy bajo"
"0901203431231","09","012","0343",5,5,0.325771,"Muy bajo"
"0900901240100","09","009","0124",12,12,0.3677105,"Muy bajo"
"0900901660100","09","009","0166",7,7,0.3969812,"Muy bajo"
"0900400780157","09","004","0078",4,4,0.4129027,"Muy bajo"
"0900903940539","09","009","0394",1,1,0.4234539,"Muy bajo"
"0901203531829","09","012","0353",8,8,0.4288091,"Muy bajo"
"0900904020539","09","009","0402",1,1,0.43062,"Muy bajo"
"0901204371231","09","012","0437",5,5,0.4384418,"Muy bajo"
"0901101520471","09","011","0152",13,13,0.4449328,"Muy bajo"
"0900903570100","09","009","0357",10,10,0.4502584,"Muy bajo"
"0901203411231","09","012","0341",2,2,0.451886,"Muy bajo"
"0900700012121","09","007","0001",6,6,0.4533841,"Muy bajo"
"0900902760100","09","009","0276",27,27,0.4549809,"Muy bajo"
"0900801090368","09","008","0109",1,1,0.4572033,"Muy bajo"
"0900902300100","09","009","0230",1,1,0.4602451,"Muy bajo"
"0901600010016","09","016","0001",7,7,0.4615015,"Muy bajo"
"0901101160471","09","011","0116",5,5,0.4645807,"Muy bajo"
"0900400710157","09","004","0071",7,7,0.4725934,"Muy bajo"
"0901302561281","09","013","0256",4,4,0.4744955,"Muy bajo"
"0901203681246","09","012","0368",3,3,0.4775594,"Muy bajo"
"0900900720100","09","009","0072",11,11,0.4781916,"Muy bajo"
"0900903020100","09","009","0302",4,4,0.4817325,"Muy bajo"
"0901201291250","09","012","0129",2,2,0.488256,"Muy bajo"
"0900904010539","09","009","0401",7,7,0.4886791,"Muy bajo"
"0901302470620","09","013","0247",8,8,0.4902762,"Muy bajo"
"0900901300100","09","009","0130",1,1,0.4912193,"Muy bajo"
"0901002151326","09","010","0215",3,3,0.4923942,"Muy bajo"
"0901204091231","09","012","0409",8,8,0.49339,"Muy bajo"
"0900200011076","09","002","0001",1,1,0.4949488,"Muy bajo"
"0901002171326","09","010","0217",5,5,0.4951833,"Muy bajo"
"0900903840100","09","009","0384",32,32,0.4989036,"Muy bajo"
"0900902900100","09","009","0290",5,5,0.5107388,"Muy bajo"
"0900903090100","09","009","0309",2,2,0.5135759,"Muy bajo"
"0901202071227","09","012","0207",8,8,0.5159257,"Muy bajo"
"0900903810100","09","009","0381",5,5,0.5177781,"Muy bajo"
"0901203711246","09","012","0371",3,3,0.521175,"Muy bajo"
"0901203171231","09","012","0317",5,5,0.5213532,"Muy bajo"
"0901302070902","09","013","0207",2,2,0.5223112,"Muy bajo"
"0901203791227","09","012","0379",6,6,0.5237399,"Muy bajo"
"0900901400100","09","009","0140",19,19,0.5275201,"Muy bajo"
"0901302930635","09","013","0293",16,16,0.5282107,"Muy bajo"
"0901302951281","09","013","0295",25,25,0.529176,"Muy bajo"
"0901203591231","09","012","0359",6,6,0.5302017,"Muy bajo"
"0900903130100","09","009","0313",17,17,0.5335128,"Muy bajo"
"0901302871281","09","013","0287",33,33,0.5343373,"Muy bajo"
"0901202291231","09","012","0229",6,6,0.5407887,"Muy bajo"
"0901101331179","09","011","0133",20,19,0.542275,"Muy bajo"
"0901203561227","09","012","0356",8,8,0.5461526,"Muy bajo"
"0901301721281","09","013","0172",46,46,0.5465661,"Muy bajo"
"0901204051231","09","012","0405",1,1,0.5472609,"Muy bajo"
"0901203901829","09","012","0390",49,49,0.5499685,"Muy bajo"
"0901201081231","09","012","0108",4,3,0.5509306,"Muy bajo"
"0900903040100","09","009","0304",45,45,0.5521122,"Muy bajo"
"0900900920100","09","009","0092",15,15,0.5524722,"Muy bajo"
"0901101340471","09","011","0134",29,29,0.554006,"Muy bajo"
"0901204401829","09","012","0440",91,85,0.5544696,"Muy bajo"
"0901302711281","09","013","0271",114,114,0.5548339,"Muy bajo"
"0901202011231","09","012","0201",3,3,0.5551817,"Muy bajo"
"0900901260100","09","009","0126",44,44,0.5562648,"Muy bajo"
"0901301691281","09","013","0169",95,95,0.5566847,"Muy bajo"
"0900901050539","09","009","0105",18,18,0.559067,"Muy bajo"
"0900400770157","09","004","0077",28,28,0.5612456,"Muy bajo"
"0901202911227","09","012","0291",49,49,0.5637896,"Muy bajo"
"0901203571227","09","012","0357",33,33,0.5638818,"Muy bajo"
"0901203301227","09","012","0330",3,3,0.5656886,"Muy bajo"
"0900903680100","09","009","0368",6,6,0.5657096,"Muy bajo"
