"Clave_localidad","Entidad_federativa","Municipio","Localidad","Índice_de_rezago_social"
"090020001","Ciudad de México","Azcapotzalco","Azcapotzalco",-1.248576
"090030001","Ciudad de México","Coyoacán","Coyoacán",-1.271506
"090040001","Ciudad de México","Cuajimalpa de Morelos","Cuajimalpa de Morelos",-1.200531
"090040010","Ciudad de México","Cuajimalpa de Morelos","Cruz Blanca",-0.816898
"090040020","Ciudad de México","Cuajimalpa de Morelos","San Lorenzo Acopilco",-1.058147
"090040050","Ciudad de México","Cuajimalpa de Morelos","La Venta",-1.080523
"090040054","Ciudad de México","Cuajimalpa de Morelos","Puerto las Cruces (Monte las Cruces)",-0.747769
"090040055","Ciudad de México","Cuajimalpa de Morelos","Teopazulco",-0.501224
"090040056","Ciudad de México","Cuajimalpa de Morelos","Valle de las Monjas",-0.445484
"090040057","Ciudad de México","Cuajimalpa de Morelos","Prolongación Constitución",-0.952077
"090040058","Ciudad de México","Cuajimalpa de Morelos","Paraje Río Borracho",-0.880302
"090040059","Ciudad de México","Cuajimalpa de Morelos","El Zarco",-1.222171
"090040062","Ciudad de México","Cuajimalpa de Morelos","Los Campesinos [Rancho]",-1.193628
"090040063","Ciudad de México","Cuajimalpa de Morelos","Santa Rosa",-0.47839
"090040066","Ciudad de México","Cuajimalpa de Morelos","Santa Laura [Rancho]",-1.45492
"090040070","Ciudad de México","Cuajimalpa de Morelos","Punta Galicia",-1.003179
"090040073","Ciudad de México","Cuajimalpa de Morelos","Los Aguacates",-0.620412
"090040074","Ciudad de México","Cuajimalpa de Morelos","Punta Ahuatenco",-0.712485
"090040077","Ciudad de México","Cuajimalpa de Morelos","Coatzehuaya",0.170153
"090050001","Ciudad de México","Gustavo A. Madero","Gustavo A. Madero",-1.175673
"090060001","Ciudad de México","Iztacalco","Iztacalco",-1.220403
"090070001","Ciudad de México","Iztapalapa","Iztapalapa",-1.121341
"090080001","Ciudad de México","La Magdalena Contreras","La Magdalena Contreras",-1.156933
"090080071","Ciudad de México","La Magdalena Contreras","Ejido de San Nicolás Totolapan",-0.645236
"090080075","Ciudad de México","La Magdalena Contreras","Segundo Dinamo",0.210551
"090080083","Ciudad de México","La Magdalena Contreras","El Gavillero",0.122135
"090080085","Ciudad de México","La Magdalena Contreras","El Ocotal (La Carbonera)",0.227844
"090080088","Ciudad de México","La Magdalena Contreras","Totolapan",-0.545745
"090080101","Ciudad de México","La Magdalena Contreras","Ocotenco (La Loma Cazulco)",0.604139
"090080104","Ciudad de México","La Magdalena Contreras","Rancho Viejo",-0.220838
"090080106","Ciudad de México","La Magdalena Contreras","Prolongación Ermitaño",-0.67874
"090080108","Ciudad de México","La Magdalena Contreras","Rincón Eslava",-0.595911
"090080111","Ciudad de México","La Magdalena Contreras","Rancho Chichicaspa",-1.032401
"090080112","Ciudad de México","La Magdalena Contreras","Paraje Chichicaspa",-0.735209
"090090001","Ciudad de México","Milpa Alta","Villa Milpa Alta",-0.923266
"090090011","Ciudad de México","Milpa Alta","San Antonio Tecómitl",-1.094584
"090090015","Ciudad de México","Milpa Alta","San Bartolomé Xicomulco",-1.062808
"090090017","Ciudad de México","Milpa Alta","San Francisco Tecoxpa",-0.941264
"090090024","Ciudad de México","Milpa Alta","San Pablo Oztotepec",-1.001468
"090090029","Ciudad de México","Milpa Alta","San Pedro Atocpan",-0.838892
"090090033","Ciudad de México","Milpa Alta","San Salvador Cuauhtenco",-0.999438
"090090036","Ciudad de México","Milpa Alta","Santa Ana Tlacotenco",-0.904048
"090090037","Ciudad de México","Milpa Alta","Cruztitla",-0.659229
"090090045","Ciudad de México","Milpa Alta","Los Pinos (Totulan)",-0.922419
"090090046","Ciudad de México","Milpa Alta","Xoctonco",-0.486189
"090090050","Ciudad de México","Milpa Alta","Cozcatlán",-1.337818
"090090052","Ciudad de México","Milpa Alta","La Herradura (Séptima Curva)",-0.343487
"090090054","Ciudad de México","Milpa Alta","Zangahco",-0.325941
"090090056","Ciudad de México","Milpa Alta","Hueycotzingo",-0.783221
"090090066","Ciudad de México","Milpa Alta","Cuauhtec (El Mirador Santa Ana Tlacotenco)",-0.541246
"090090067","Ciudad de México","Milpa Alta","La Mora",-0.606111
"090090068","Ciudad de México","Milpa Alta","Metenco",-0.389754
"090090072","Ciudad de México","Milpa Alta","Tamasquititla",0.337808
"090090074","Ciudad de México","Milpa Alta","San Agustín Xolco",-1.260344
"090090077","Ciudad de México","Milpa Alta","San Marcos (Tezocotitla)",-0.754084
"090090081","Ciudad de México","Milpa Alta","Cuyucalco",-0.847366
"090090082","Ciudad de México","Milpa Alta","Iztahuaca",-0.599692
"090090083","Ciudad de México","Milpa Alta","Tzotzomaco",-0.418116
"090090084","Ciudad de México","Milpa Alta","Tlatepexco",-0.558565
"090090088","Ciudad de México","Milpa Alta","San Paocotitla",-0.315568
"090090090","Ciudad de México","Milpa Alta","Tlacopac",-0.539892
"090090092","Ciudad de México","Milpa Alta","Tecolotzitzatzian (Tiapa)",0.561654
"090090095","Ciudad de México","Milpa Alta","Tepetlapa",-0.205133
"090090096","Ciudad de México","Milpa Alta","Tequianquiztunco",0.365176
"090090098","Ciudad de México","Milpa Alta","Tetexipezco",-0.169058
"090090099","Ciudad de México","Milpa Alta","Tetlicuili (El Encinal)",1.187883
"090090101","Ciudad de México","Milpa Alta","Texcalatlautenco",-0.581395
"090090103","Ciudad de México","Milpa Alta","Tezompa",-0.351959
"090090104","Ciudad de México","Milpa Alta","Teziuhtepec",-0.475406
"090090105","Ciudad de México","Milpa Alta","Tetzumpa",0.132156
"090090109","Ciudad de México","Milpa Alta","Tlaxala",-0.70102
"090090112","Ciudad de México","Milpa Alta","Tetepanco",-0.344789
"090090113","Ciudad de México","Milpa Alta","Copexalco",-0.837016
"090090115","Ciudad de México","Milpa Alta","San José",-0.324366
"090090116","Ciudad de México","Milpa Alta","Hueytepetl (Bugambilias)",-0.766191
"090090117","Ciudad de México","Milpa Alta","Ocoximalipa",-0.73945
"090090120","Ciudad de México","Milpa Alta","Corralixpa",-0.41163
